time,x,y
0.00,0.00000,1.50000
0.02,0.03005,1.59684
0.04,0.06397,1.68482
0.06,0.10247,1.75261
0.08,0.12896,1.84429
0.10,0.16182,1.90990
0.12,0.19656,1.97067
0.14,0.23232,2.04650
0.16,0.26118,2.11397
0.18,0.29596,2.18276
0.20,0.32676,2.22572
0.22,0.36379,2.26374
0.24,0.39469,2.31261
0.26,0.42590,2.36353
0.28,0.46416,2.38845
0.30,0.49400,2.44103
0.32,0.52597,2.46574
0.34,0.55944,2.49980
0.36,0.59320,2.52801
0.38,0.63121,2.54006
0.40,0.65770,2.55874
0.42,0.69537,2.57123
0.44,0.72647,2.58278
0.46,0.76275,2.58272
0.48,0.79297,2.58018
0.50,0.82634,2.57157
0.52,0.85814,2.56416
0.54,0.89223,2.56221
0.56,0.92648,2.52835
0.58,0.95815,2.53096
0.60,0.99295,2.48787
0.62,1.01945,2.46069
0.64,1.05699,2.43871
0.66,1.09252,2.39846
0.68,1.12123,2.35602
0.70,1.15662,2.31889
0.72,1.18503,2.26483
0.74,1.22236,2.21446
0.76,1.25519,2.16247
0.78,1.29189,2.09803
0.80,1.32424,2.04384
0.82,1.34978,1.97358
0.84,1.39395,1.90341
0.86,1.42185,1.83267
0.88,1.45069,1.75687
0.90,1.48410,1.67187
0.92,1.52135,1.58357
0.94,1.55478,1.48294
0.96,1.58786,1.39998
0.98,1.61391,1.29493
1.00,1.65546,1.19017
1.02,1.68106,1.09515
1.04,1.71455,0.98270
1.06,1.74937,0.86886
1.08,1.78255,0.74510
1.10,1.81705,0.62109
1.12,1.85390,0.49661
1.14,1.88282,0.37502
1.16,1.90609,0.23395
1.18,1.94323,0.09934
1.20,1.98421,0.03841
1.22,2.00427,0.12364
1.24,2.04400,0.21856
1.26,2.07761,0.30275
1.28,2.10321,0.40362
1.30,2.13638,0.48609
1.32,2.17306,0.56046
1.34,2.19625,0.64271
1.36,2.23334,0.70173
1.38,2.26968,0.76225
1.40,2.29587,0.83248
1.42,2.32909,0.89353
1.44,2.36756,0.93644
1.46,2.38943,0.99827
1.48,2.42740,1.03720
1.50,2.45966,1.08728
1.52,2.49223,1.12812
1.54,2.52291,1.16020
1.56,2.55989,1.18389
1.58,2.58438,1.20746
1.60,2.61799,1.24990
1.62,2.65909,1.25896
1.64,2.68414,1.27208
1.66,2.72001,1.28969
1.68,2.75250,1.29500
1.70,2.77955,1.30382
1.72,2.81140,1.29924
1.74,2.84718,1.30193
1.76,2.87512,1.28077
1.78,2.90863,1.27180
1.80,2.94130,1.24804
